process ID,process name,process type,process location,process category,flow ID,flow name,flow type,flow location,flow category,flow unit,prcs_class,MappingRequired,MatchCondition,ConversionFactor,TargetListName,TargetProcessID,TargetProcessName,TargetUnit,LastUpdated
013354c3-5ea3-4ed2-a026-4291445dd97c,"Product manufacturing, from PET, using 100% virgin inputs",UNIT_PROCESS,US,Product manufacturing/100% Virgin inputs,c3985a1b-0b91-47e4-9fab-d3e618daa7e5,"Product manufactured, from PET, using 100% virgin inputs",PRODUCT_FLOW,,Product manufactured/100% Virgin inputs,kg,background_map,TRUE,<,5,USEEIO,325211/US,Plastics,USD,
671ea9bd-a5cb-499b-9234-59a675b3463d,"Landfill operation, diesel",UNIT_PROCESS,,Transport,e24f0781-7863-4711-bdd2-110bc33ab31c,"Landfill operation, diesel",PRODUCT_FLOW,,Transport,MJ,background_map,TRUE,<,0.022,USEEIO,324110/US,"Gasoline, fuels, and by-products of petroleum refining",USD,
821c2a29-4c81-4df2-80c1-59a78cc973a6,"Transport of MSW, by truck",UNIT_PROCESS,,Transport,efefd210-d30b-11e4-8830-0800200c9a66,"Transport of MSW, by truck",PRODUCT_FLOW,,Transport,t*km,background_map,TRUE,<,2.01E-01,USEEIO,484000/US,Truck transport,USD,
c7ffaf84-2ce2-4d7d-a76a-0a08421e4073,"Electricity generation, at grid, National",UNIT_PROCESS,,Utilities,6ff43b96-4ce1-4545-b60b-e29291b0da0b,"Electricity, at grid",PRODUCT_FLOW,,Utilities,MJ,background_map,TRUE,=,0.0294,USEEIO,221100/US,Electricity,USD,
5b63690f-3108-4aaa-8414-03c6d750e06a,Transport of ash to landfill,UNIT_PROCESS,,Transport,f23ba044-51a7-4326-a42b-aec68c688788,Transport of ash to landfill,PRODUCT_FLOW,,Transport,kg,background_map,TRUE,<,2.44E-02,USEEIO,484000/US,Truck transport,USD,
5dce77a7-4e5c-4152-bbae-7dfbe498a90a,"Product manufacturing, from Concrete, using 100% virgin inputs",UNIT_PROCESS,US,Product manufacturing/100% Virgin inputs,d1a310ed-2979-4443-b4b5-985bfa151e39,"Product manufactured, from Concrete, using 100% virgin inputs",PRODUCT_FLOW,,Product manufactured/100% Virgin inputs,kg,background_map,TRUE,<,1.12E-01,USEEIO,327320/US,Ready-mix concrete,USD,
504e308c-fdb2-4a2a-b0ce-66d4dced746c,"Product manufacturing, from PET, using 100% recycled inputs",UNIT_PROCESS,US,Product manufacturing/100% Recycled inputs,2b70279c-a700-483e-9d4b-bc5da5bee331,"Product manufactured, from PET, using 100% recycled inputs",PRODUCT_FLOW,,Product manufactured/100% Recycled inputs,kg,background_map,TRUE,<,4,USEEIO,325211/US,Plastics,USD,
df7ff60a-c451-4d06-bb9f-60d5b8d20806,"Product manufacturing, from Concrete, using 100% recycled inputs",UNIT_PROCESS,US,Product manufacturing/100% Recycled inputs,db16b82c-16e1-4f27-bc1c-a982491cc01d,"Product manufactured, from Concrete, using 100% recycled inputs",PRODUCT_FLOW,,Product manufactured/100% Recycled inputs,kg,background_map,TRUE,<,8.13E-02,USEEIO,327320/US,Ready-mix concrete,USD,
7117baab-3689-49d1-98f5-0def54ae5605,"Distillate oil for AD, consumption",UNIT_PROCESS,,Transport,00e3b14f-88b3-4e54-a383-670c16758d89,Distillate oil,PRODUCT_FLOW,,Transport/Fuels,m3,background_map,TRUE,<,803.72,USEEIO,324110/US,"Gasoline, fuels, and by-products of petroleum refining",USD,
fw-ad-fert-offset-N-prcs,"Fertilizer production, Anhydrous Ammonia",UNIT_PROCESS,,Product manufacturing/100% Virgin inputs,fw-ad-fert-offset-N-flow,"Fertilizer, Anhydrous Ammonia",PRODUCT_FLOW,,Product manufactured/100% Virgin inputs,kg,background_map,TRUE,,,,,,,
fw-ad-fert-offset-P-prcs,"Fertilizer production, Triple Superphosphate (45% P2O5)",UNIT_PROCESS,,Product manufacturing/100% Virgin inputs,fw-ad-fert-offset-P-flow,"Fertilizer, Triple Superphosphate (45% P2O5)",PRODUCT_FLOW,,Product manufactured/100% Virgin inputs,kg,background_map,TRUE,,,,,,,
